time,j,i,current_speed,current_dir,w,salt,FineSed,tss,NO3,DIP,DIN,PH,TN,TP,wave_dir,weekly_Coral_IN_up,CS_bleach,erdepflux_total,MA_N_pr,MA_N_gr,Turbidity,Oxygen,temp,NH4,longitude,latitude
2021-01-03,0,0,0.0037956338,152.04854,2.9693625e-05,35.649525,7.132338e-05,0.00022349041,5.9912553,0.009947467,6.253449,7.969589,59.62196,4.562875,102.259674,2.7777778e-16,2.7777778e-16,-3.2852467e-06,2.7777892e-16,7.214068e-11,0.49908134,5834.8906,32.32475,0.26219365,145.242567,-15.451285
2021-01-03,0,1,0.008465957,271.35715,2.8178232e-05,35.648037,1.4360991e-05,0.00022340317,4.283101,0.011628482,4.407472,7.973743,56.655945,4.4599905,102.48822,2.7777778e-16,2.7777778e-16,-2.2860086e-06,2.7777887e-16,7.045975e-11,0.28143552,6017.0327,32.36552,0.12437141,145.250448,-15.446789
2021-01-03,0,2,0.013446557,265.67722,2.7377871e-05,35.631474,1.3739801e-06,0.0002233159,2.9336355,0.008439019,3.067069,7.9773765,54.308746,4.3574214,102.71671,2.7777778e-16,2.7777778e-16,-7.5955036e-08,2.7777887e-16,6.9798854e-11,0.21724933,6155.152,32.330204,0.13343365,145.25833,-15.442294
2021-01-03,0,3,0.019414239,256.7085,2.7192762e-05,35.604694,1.2329805e-07,0.00022322859,1.9209957,0.0059019267,2.190358,7.980636,52.33896,4.245379,102.94511,2.7777778e-16,2.7777778e-16,-5.6601066e-09,2.7777887e-16,7.097187e-11,0.19572742,6256.693,32.262836,0.26936224,145.266211,-15.437801
2021-01-03,0,4,0.025995797,254.04594,2.7056414e-05,35.57747,8.091838e-09,0.00022314128,1.35918,0.002306696,1.7253171,7.983088,51.15592,4.168134,103.17334,2.7777778e-16,2.7777778e-16,-1.597801e-08,2.7777887e-16,6.9470645e-11,0.18657897,6314.224,32.17201,0.36613706,145.27409,-15.433311
2021-01-03,0,5,0.03177707,254.01074,2.6879376e-05,35.54726,5.35705e-09,0.00022305392,1.0329148,0.0019259421,1.4296542,7.9852767,50.345306,4.1174707,103.40149,2.7777778e-16,2.7777778e-16,-9.234161e-09,2.7777887e-16,7.053355e-11,0.1833161,6349.6323,32.078037,0.3967396,145.281968,-15.428823
2021-01-03,0,6,0.035402074,255.37752,2.6682237e-05,35.519398,4.9075615e-09,0.0002801978,0.79235953,0.0018032718,1.2099138,7.9861083,49.754745,4.081282,103.62952,2.7777778e-16,2.7777778e-16,9.817829e-09,2.7777884e-16,6.848189e-11,0.1819759,6376.445,31.990105,0.4175543,145.289846,-15.424337
2021-01-03,0,7,0.037089948,257.53244,2.653947e-05,35.49643,4.396139e-09,0.0003608896,0.6131534,0.0017283652,1.0352875,7.988116,49.37294,4.061287,103.85751,2.7777778e-16,2.7777778e-16,5.499114e-09,2.777789e-16,6.999497e-11,0.18176244,6395.7207,31.907898,0.42213416,145.297722,-15.419852
2021-01-03,0,8,0.03804149,261.29752,2.6530886e-05,35.483753,1.5031376e-09,0.00044469404,0.5253538,0.0015837019,0.95065546,7.988938,49.221325,4.0552716,104.31222,2.7777778e-16,2.7777778e-16,5.348882e-09,2.7777887e-16,6.91697e-11,0.18087964,6404.6953,31.867874,0.42530164,145.305597,-15.41537
2021-01-03,0,9,0.03878722,271.4938,2.6493508e-05,35.477505,6.2343913e-10,0.0005242123,0.48356995,0.0015532774,0.9238739,7.9893494,49.17336,4.054396,104.83431,2.7777778e-16,2.7777778e-16,-7.589506e-09,2.7777887e-16,6.932122e-11,0.17945592,6409.435,31.804068,0.44030395,145.313473,-15.410887
2021-01-03,0,10,0.040536955,296.61606,2.6594376e-05,35.46945,3.0564157e-10,0.0005939465,0.42983416,0.001537369,0.8794412,7.9899564,49.101883,4.0527515,105.32669,2.7777778e-16,2.7777778e-16,6.046161e-09,2.7777892e-16,7.226778e-11,0.17877679,6416.0117,31.780647,0.44960698,145.321347,-15.406407
2021-01-03,0,11,0.043286864,309.475,2.6597312e-05,35.456814,2.0975115e-10,0.00062131515,0.34999546,0.001522759,0.80511975,7.9910583,48.96242,4.0472007,105.7895,2.7777778e-16,2.7777778e-16,-1.919864e-08,2.7777892e-16,7.210741e-11,0.1790818,6425.875,31.739212,0.45512426,145.32922,-15.401929
2021-01-03,0,12,0.045987453,194.98157,2.6563126e-05,35.441467,1.8182482e-10,0.00056162296,0.27166536,0.0015099128,0.7330683,7.9923344,48.770584,4.035663,106.11501,2.7777778e-16,2.7777778e-16,-2.8002352e-08,2.7777887e-16,6.966567e-11,0.17975593,6436.885,31.67306,0.4614029,145.337092,-15.397453
2021-01-03,0,13,0.048157882,198.54747,2.6546384e-05,35.428616,6.907299e-11,0.0005106099,0.22924395,0.0015010036,0.70759124,7.9935174,48.574875,4.019708,106.36637,2.7777778e-16,2.7777778e-16,-1.8447851e-08,2.7777892e-16,7.088543e-11,0.17840393,6444.1274,31.59593,0.4783473,145.344963,-15.392979
2021-01-03,0,14,0.049826656,201.31853,2.6516063e-05,35.430157,4.0212306e-11,0.00046826844,0.23219818,0.0015043545,0.7139656,7.993551,48.371265,4.001081,106.635414,2.7777778e-16,2.7777778e-16,8.709976e-09,2.777789e-16,7.222838e-11,0.17314549,6446.609,31.573492,0.48176742,145.352835,-15.388505
2021-01-03,0,15,0.05094484,203.99713,2.6603951e-05,35.441048,1.3875966e-11,0.00043462624,0.28508914,0.0015045769,0.78983164,7.993301,48.28832,3.9871705,106.92206,2.7777778e-16,2.7777778e-16,6.0637e-08,2.7777887e-16,7.1061775e-11,0.1674341,6445.2383,31.591215,0.50474244,145.360705,-15.384033
2021-01-03,0,16,0.053185206,207.00682,2.666719e-05,35.449245,1e-12,0.00040967052,0.3281779,0.0014890991,0.86366254,7.993225,48.27297,3.9789345,107.22635,2.7777778e-16,2.7777778e-16,3.1788364e-08,2.7777892e-16,7.096293e-11,0.16448177,6443.0156,31.596872,0.5354846,145.368575,-15.379564
2021-01-03,0,17,0.05492772,209.63579,2.6805023e-05,35.453793,1e-12,0.00043097264,0.35967565,0.0014755959,0.9047807,7.993229,48.240967,3.9714718,107.54822,2.7777778e-16,2.7777778e-16,-1.0589165e-09,2.777789e-16,7.114333e-11,0.16318245,6442.2676,31.558466,0.54510516,145.376444,-15.375096
