,NRM_REGION,CATCHMENT,MMP_SITE_NAME,DEPTH,SITE_NO,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,SAMPLE_DATE,GROUP_CODE,COVER,ALGAE_COVER,SOFT_COVER,HARD_COVER
0,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,1,2005,2005-08-23,Algae,75.75,75.75,1.75,11.25
4,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,1,2005,2005-08-23,Algae,76.63,76.63,1.63,13.88
8,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,2,2006,2006-08-24,Algae,78.83,78.83,2.62,14.18
12,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,2,2006,2006-08-24,Algae,71.7,71.7,2.76,17.15
16,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,3,2007,2007-07-03,Algae,66.85,66.85,2.0,17.76
20,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,3,2007,2007-07-03,Algae,73.85,73.85,5.0,16.14
24,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,5,2009,2009-06-19,Algae,66.38,66.38,2.25,20.5
28,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,5,2009,2009-06-20,Algae,69.63,69.63,3.5,17.88
32,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,7,2011,2011-08-17,Algae,65.13,65.13,2.88,14.13
36,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,7,2011,2011-08-17,Algae,62.63,62.63,3.88,16.25
40,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,9,2013,2013-06-24,Algae,56.88,56.88,0.75,29.13
44,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,9,2013,2013-06-24,Algae,56.75,56.75,5.0,28.88
48,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,11,2015,2015-06-17,Algae,36.0,36.0,1.88,57.38
52,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,11,2015,2015-06-17,Algae,37.38,37.38,5.5,48.88
56,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,12,2016,2016-06-07,Algae,42.63,42.63,1.75,47.0
60,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,12,2016,2016-06-08,Algae,32.63,32.63,3.75,58.63
64,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,13,2017,2017-05-09,Algae,68.13,68.13,1.0,23.63
68,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,13,2017,2017-05-09,Algae,43.13,43.13,4.13,48.88
72,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,14,2018,2018-05-10,Algae,69.75,69.75,1.88,19.75
76,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,14,2018,2018-05-10,Algae,42.38,42.38,6.63,43.38
80,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,15,2019,2019-05-08,Algae,69.88,69.88,2.0,20.5
84,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,15,2019,2019-05-08,Algae,52.81,52.81,3.5,36.3
88,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,16,2020,2020-04-04,Algae,74.88,74.88,1.38,17.0
92,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,16,2020,2020-04-04,Algae,59.63,59.63,4.38,28.75
96,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,1,2005,2005-08-23,Algae,79.38,79.38,6.75,11.38
100,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,1,2005,2005-08-23,Algae,85.0,85.0,3.0,9.88
104,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,2,2006,2006-08-24,Algae,80.54,80.54,7.05,9.16
108,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,2,2006,2006-08-24,Algae,87.37,87.37,1.25,10.88
112,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,3,2007,2007-07-03,Algae,76.0,76.0,7.38,12.5
116,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,3,2007,2007-07-03,Algae,83.83,83.83,2.13,12.29
120,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,5,2009,2009-06-19,Algae,76.88,76.88,6.88,12.38
124,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,5,2009,2009-06-20,Algae,83.0,83.0,2.25,13.88
128,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,7,2011,2011-06-25,Algae,77.63,77.63,5.63,10.38
132,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,7,2011,2011-06-25,Algae,85.38,85.38,2.63,8.75
136,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,9,2013,2013-06-24,Algae,71.13,71.13,9.5,14.38
140,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,9,2013,2013-06-24,Algae,79.75,79.75,1.88,13.25
144,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,11,2015,2015-06-17,Algae,61.63,61.63,9.88,21.38
148,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,11,2015,2015-06-17,Algae,66.88,66.88,3.38,22.25
152,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,12,2016,2016-06-07,Algae,50.0,50.0,8.38,33.13
156,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,12,2016,2016-06-08,Algae,68.5,68.5,1.63,24.63
160,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,13,2017,2017-05-09,Algae,52.5,52.5,10.5,33.38
164,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,13,2017,2017-05-09,Algae,69.63,69.63,3.88,22.75
168,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,14,2018,2018-05-10,Algae,54.38,54.38,13.5,25.25
172,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,14,2018,2018-05-10,Algae,64.0,64.0,3.88,26.88
176,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,15,2019,2019-05-08,Algae,47.75,47.75,12.75,33.25
180,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,15,2019,2019-05-08,Algae,63.0,63.0,4.38,28.25
184,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,16,2020,2020-04-04,Algae,55.25,55.25,10.75,30.0
188,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,16,2020,2020-04-04,Algae,58.88,58.88,1.75,31.38
192,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,1,2005,2005-05-20,Algae,62.5,62.5,0.13,30.75
196,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,1,2005,2005-05-20,Algae,81.63,81.63,0.38,9.75
200,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,2,2006,2006-08-23,Algae,59.38,59.38,0.0,33.5
204,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,2,2006,2006-08-23,Algae,77.42,77.42,0.75,16.56
208,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,4,2008,2008-09-16,Algae,45.13,45.13,0.13,50.5
212,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,4,2008,2008-09-16,Algae,69.75,69.75,0.13,24.25
216,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,6,2010,2010-07-15,Algae,55.75,55.75,0.0,33.63
220,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,6,2010,2010-07-15,Algae,63.75,63.75,0.0,18.63
224,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,8,2012,2012-06-22,Algae,87.63,87.63,0.0,6.13
228,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,8,2012,2012-06-22,Algae,89.13,89.13,0.0,2.63
232,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,10,2014,2014-05-25,Algae,72.63,72.63,0.75,10.75
236,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,10,2014,2014-05-25,Algae,72.88,72.88,0.0,6.13
240,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,12,2016,2016-05-10,Algae,57.38,57.38,0.38,25.0
244,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,12,2016,2016-05-10,Algae,58.63,58.63,0.0,13.63
248,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,14,2018,2018-06-13,Algae,43.5,43.5,0.13,38.63
252,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,14,2018,2018-06-13,Algae,53.13,53.13,0.88,11.5
256,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,16,2020,2020-04-04,Algae,44.5,44.5,0.13,37.75
260,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,16,2020,2020-04-04,Algae,62.63,62.63,0.0,7.25
264,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,1,2005,2005-05-20,Algae,28.0,28.0,0.0,56.75
268,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,1,2005,2005-05-20,Algae,38.75,38.75,0.0,33.63
272,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,2,2006,2006-08-23,Algae,42.23,42.23,0.0,48.24
276,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,2,2006,2006-08-23,Algae,41.13,41.13,0.5,31.38
280,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,4,2008,2008-09-16,Algae,22.38,22.38,0.0,64.25
284,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,4,2008,2008-09-16,Algae,45.63,45.63,0.38,32.75
288,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,6,2010,2010-07-15,Algae,21.5,21.5,0.0,58.75
292,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,6,2010,2010-07-15,Algae,33.25,33.25,0.13,33.63
296,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,8,2012,2012-06-22,Algae,34.92,34.92,0.0,39.19
300,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,8,2012,2012-06-22,Algae,52.38,52.38,0.25,13.63
304,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,10,2014,2014-05-25,Algae,27.38,27.38,0.0,40.75
308,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,10,2014,2014-05-25,Algae,39.38,39.38,0.38,14.63
312,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,12,2016,2016-05-10,Algae,32.13,32.13,0.13,47.63
316,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,12,2016,2016-05-10,Algae,35.0,35.0,1.88,20.75
320,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,14,2018,2018-06-13,Algae,26.75,26.75,0.0,53.5
324,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,14,2018,2018-06-13,Algae,40.88,40.88,2.25,27.25
