,NRM_REGION,CATCHMENT,MMP_SITE_NAME,DEPTH,SITE_NO,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,SAMPLE_DATE,GROUP_CODE,COVER,ALGAE_COVER,SOFT_COVER,HARD_COVER
88,Burdekin,Burdekin,Havannah,2,1,-18.847217,146.542833,IN,16,2020,2020-04-04,Algae,74.88,74.88,1.38,17.0
92,Burdekin,Burdekin,Havannah,2,2,-18.846367,146.540683,IN,16,2020,2020-04-04,Algae,59.63,59.63,4.38,28.75
184,Burdekin,Burdekin,Havannah,5,1,-18.84755,146.5427,IN,16,2020,2020-04-04,Algae,55.25,55.25,10.75,30.0
188,Burdekin,Burdekin,Havannah,5,2,-18.846683,146.540583,IN,16,2020,2020-04-04,Algae,58.88,58.88,1.75,31.38
256,Burdekin,Burdekin,Lady Elliot,2,1,-18.67985,146.332467,IN,16,2020,2020-04-04,Algae,44.5,44.5,0.13,37.75
260,Burdekin,Burdekin,Lady Elliot,2,2,-18.681833,146.331767,IN,16,2020,2020-04-04,Algae,62.63,62.63,0.0,7.25
328,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,16,2020,2020-04-04,Algae,16.63,16.63,0.0,57.63
332,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,16,2020,2020-04-04,Algae,33.5,33.5,0.38,20.75
448,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,16,2020,2020-04-06,Algae,58.88,58.88,0.0,24.38
452,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,16,2020,2020-04-06,Algae,85.25,85.25,0.13,11.38
568,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,16,2020,2020-04-06,Algae,48.75,48.75,2.0,15.13
572,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,16,2020,2020-04-06,Algae,36.25,36.25,2.13,46.5
704,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,16,2020,2020-04-03,Algae,29.5,29.5,1.63,58.38
708,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,16,2020,2020-04-03,Algae,64.5,64.5,4.13,23.88
792,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,16,2020,2020-04-03,Algae,40.0,40.0,3.0,38.88
796,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,16,2020,2020-04-03,Algae,36.25,36.25,3.75,53.25
920,Burdekin,Burdekin,Palms West,2,1,-18.569117,146.482317,IN,16,2020,2020-04-03,Algae,33.0,33.0,28.38,7.88
924,Burdekin,Burdekin,Palms West,2,2,-18.540583,146.488767,IN,16,2020,2020-04-03,Algae,36.0,36.0,18.13,10.88
1048,Burdekin,Burdekin,Palms West,5,1,-18.569067,146.482017,IN,16,2020,2020-04-03,Algae,44.75,44.75,27.38,9.63
1052,Burdekin,Burdekin,Palms West,5,2,-18.540583,146.48855,IN,16,2020,2020-04-03,Algae,52.88,52.88,18.5,13.0
1160,Burdekin,Burdekin,Pandora,2,1,-18.814033,146.435983,IN,16,2020,2020-04-05,Algae,79.1,79.1,0.13,9.0
1164,Burdekin,Burdekin,Pandora,2,2,-18.8164,146.434067,IN,16,2020,2020-04-05,Algae,61.5,61.5,0.25,12.0
1272,Burdekin,Burdekin,Pandora,5,1,-18.81405,146.436317,IN,16,2020,2020-04-05,Algae,70.0,70.0,0.38,11.75
1276,Burdekin,Burdekin,Pandora,5,2,-18.8168,146.434567,IN,16,2020,2020-04-05,Algae,74.25,74.25,0.5,18.13
3944,Wet Tropics,Daintree,Snapper North,2,1,-16.2924,145.496883,IN,16,2020,2020-07-18,Algae,86.0,86.0,10.75,2.63
3948,Wet Tropics,Daintree,Snapper North,2,2,-16.295833,145.500583,IN,16,2020,2020-07-18,Algae,98.13,98.13,0.5,1.13
3952,Wet Tropics,Daintree,Snapper North,2,3,-16.301833,145.506967,IN,16,2020,2020-07-18,Algae,66.63,66.63,9.88,23.0
4076,Wet Tropics,Daintree,Snapper North,5,1,-16.291883,145.496517,IN,16,2020,2020-07-18,Algae,56.88,56.88,11.25,22.75
4080,Wet Tropics,Daintree,Snapper North,5,2,-16.294867,145.500367,IN,16,2020,2020-07-18,Algae,41.4,41.4,7.14,21.26
4264,Wet Tropics,Daintree,Snapper South,2,1,-16.29975,145.496,IN,16,2020,2020-07-19,Algae,71.0,71.0,2.75,25.0
4268,Wet Tropics,Daintree,Snapper South,2,2,-16.300767,145.499367,IN,16,2020,2020-07-19,Algae,52.63,52.63,9.38,36.63
